Price,Close,High,Low,Open,Volume,PE_Ratio,ROE,EPS,Revenue,NetIncome,Revenue_to_NetIncome,RSI,MACD,MACD_Signal,MACD_Hist,SMA_50,EMA_50,StdDev_20,ATR_14,Month,Year,Upcoming_Earnings
Ticker,AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,,,
Date,,,,,,,,,,,,,,,,,,,,,,
2020-02-11,77.37326049804688,78.4118136218486,77.15538413187909,78.33919062909048,94323200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,51.98200303515771,0.9238376368196413,0.9302006497713562,-0.00636301295171493,,75.03755529485535,1.2311861995291993,2.0084607788652846,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-12,79.210693359375,79.215532428976,77.82353527181141,77.82353527181141,113730400,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,55.95835119487241,1.028873350977591,0.9499351900126032,0.07893816096498774,,75.20120776797377,1.3179799885041334,2.072600350156663,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-13,78.6466293334961,78.97344754144679,78.27866056338509,78.48201230906955,94747600,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,54.89954979187058,1.0544446765186706,0.9708370873138167,0.0836075892048539,,75.33632233917072,1.3105669009566974,2.0389461330565704,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-14,78.666015625,78.91536443873161,78.15763246837311,78.61517213781144,80113600,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,62.79609213099566,1.064009212073742,0.9894715122658018,0.07453769980794034,,75.46689854645814,1.3384715888200107,1.8613887613654359,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-18,77.2255859375,77.40715079471983,76.16282276038466,76.34438761760448,152531200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,51.64687583370667,0.9444712610177532,0.9804714620161921,-0.036000200998438814,,75.53586667944018,1.337585242834481,1.8771664944844468,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-19,78.34400939941406,78.57399446337855,77.46765770370357,77.46765770370357,93984000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,50.03950184506643,0.9292719315280777,0.9702315559185692,-0.0409596243904915,,75.64598992336072,1.3489877529304468,1.798212087191671,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-20,77.54027557373047,78.59335295390206,77.0343158542038,78.1043410564765,100566000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,47.790838491884905,0.8426581125682162,0.9447168672484987,-0.10205875468028247,,75.72027563513993,1.343315774097854,1.8131381622306921,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-21,75.78517150878906,77.57661741601534,75.16785392447004,77.13359500928858,129554000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,53.79004312788418,0.6251870399682247,0.8808109017924439,-0.25562386182421926,,75.72282057136147,1.386807201034029,1.716423893139235,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-24,72.18534088134766,73.63785968182607,70.01867143670297,71.96262546916086,222195200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,43.07502682935456,0.1605131063692795,0.7367513427078111,-0.5762382363385316,,75.58409587763543,1.793562099209105,1.9338988033204956,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-25,69.74026489257812,73.23841723217687,69.26820072326095,72.85592387195561,230673600,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,28.65980721228607,-0.40042567383224537,0.5093159393997998,-0.9097416132320452,,75.35492603508418,2.3761494493573263,2.028069512422541,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-26,70.84659576416016,72.11271051529036,69.35776562363947,69.3650279213828,198054800,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,30.60957531064598,-0.7470900540481722,0.25803474071020543,-1.0051247947583777,,75.17812876955774,2.722833679380952,2.1228963823440057,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-27,66.21548461914062,69.23672624207228,66.07991679515257,68.05050408823062,320605600,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,20.962620010301364,-1.3796127218650724,-0.06949475180485014,-1.3101179700602223,,74.82665252836492,3.523077082298445,2.3778088917109637,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-02-28,66.17675018310547,67.39929122080478,62.06370365251087,62.27916414492055,426510000,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,22.030492211117817,-1.8625467588199882,-0.4281051532078778,-1.4344416056121103,,74.48744067168808,4.08783240202767,2.647561257503351,2,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-02,72.33783721923828,72.97452563881295,67.23223588558308,68.33614928810904,341397200,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,39.409419094396426,-1.7282055511721381,-0.6881252328007299,-1.0400803183714082,,74.4031424970822,4.139789629388088,2.999969402474743,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
2020-03-03,70.04044342041016,73.59427022253612,69.18829451063576,73.51438495619033,319475600,36.242626,1.7142199,7.46,416161005568,112010002432,3.7153914519432907,36.820079321393706,-1.7865256994893457,-0.9078053261384531,-0.8787203733508926,,74.23205625878134,4.2950408394553055,3.224936989755519,3,2020,"2026-01-29, 2025-10-30, 2025-07-31, 2025-05-01, 2025-01-30"
