Close,High,Low,Open,Volume,PE_Ratio,ROE,EPS,Revenue,NetIncome,Revenue_to_NetIncome,RSI,MACD,MACD_Signal,MACD_Hist,SMA_50,EMA_50,StdDev_20,ATR_14,Month,Year,Upcoming_Earnings
AAPL,AAPL,AAPL,AAPL,AAPL,,,,,,,,,,,,,,,,,
72.53852844238281,72.59890677347013,71.29231880429238,71.54590484669842,135480400,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,0.0,0.0,0.0,,72.53852844238281,,,1,2020,
71.83326721191406,72.59403229564492,71.60866171136072,71.76564381270238,146322800,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,-0.056260155137110246,-0.01125203102742205,-0.0450081241096882,,72.51087113922718,,,1,2020,
72.4056625366211,72.44430553740506,70.7029972337209,70.95417305361724,118387200,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,-0.0540363173888494,-0.01980888829970752,-0.03422742908914188,,72.506745311674,,,1,2020,
72.06515502929688,72.67134838279743,71.84537704823941,72.41534488187352,108872000,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,-0.07884118791520223,-0.03161534822280646,-0.047225839692395764,,72.48942804569842,,,1,2020,
73.22441864013672,73.52631026770732,71.76809372355218,71.76809372355218,132079200,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,-0.0048998589681161775,-0.026272250371868408,0.02137239140375223,,72.51825120626462,,,1,2020,
74.77974700927734,74.97295465655091,73.95135835025293,74.20252681762871,170108400,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,0.1771589992434457,0.014413999551194412,0.16274499969225129,,72.60693731618669,,,1,2020,
74.94879913330078,75.51394659034878,74.44645484641248,75.01401242394427,140644800,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,0.3312644393684252,0.07778408751464057,0.25348035185378465,,72.69877503450489,,,1,2020,
76.55004119873047,76.57661149006776,75.1468497409281,75.26519625077637,121532000,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,0.5759616362599473,0.17741959726370193,0.3985420389962454,,72.84980508016079,,,1,2020,
75.51637268066406,76.69737618985954,75.39320591637785,76.48726080979424,161954400,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,0.6786544114573019,0.2776665601024219,0.40098785135487997,,72.9543763586119,,,1,2020,
75.19274139404297,76.19743749233605,74.76043057245047,75.31591552157606,121923600,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,0.7255610197423437,0.36724545203040626,0.3583155677119374,,73.0421553796092,,,1,2020,
76.13465118408203,76.24575261001203,75.37388575466262,75.73615570871007,108829200,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,0.829180812678274,0.45963252415997985,0.3695482885182942,,73.16342972488265,,,1,2020,
76.97753143310547,76.97994155406593,76.07668423312775,76.38340344954888,137816400,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,0.9681533676051259,0.5613366928490091,0.4068166747561168,,73.31300234089139,,,1,2020,
76.45587158203125,77.04757477909159,76.31820722415463,76.60560865744733,110843200,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,1.0243880208939657,0.6539469584580004,0.3704410624359653,,73.43625211505373,,,1,2020,
76.72876739501953,77.28182746630861,76.63457368368562,76.94129287751667,101832400,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,,1.078542038941066,0.7388659745546136,0.3396760643864525,,73.5653703613269,,,1,2020,
77.09828186035156,77.17797799443389,76.23366024847726,76.78190007438859,104472000,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,71.90249465681978,1.1381562606974285,0.8187240317831765,0.31943222891425194,,73.70391591030825,,1.2108424142317458,1,2020,
76.8760757446289,78.08846950735138,76.6852782289865,77.34461200102739,146537600,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,75.40162070219155,1.1541662740876717,0.8858124802440757,0.26835379384359603,,73.82831433518358,,1.2406867495232226,1,2020,
74.61552429199219,75.29658608064733,73.63256355928529,74.8836004716033,161940000,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,59.51352910147796,0.9732279490510223,0.903295574005465,0.06993237504555727,,73.85918531388195,,1.3479870267846121,1,2020,
76.7263412475586,76.89781358300051,75.3980184372133,75.49703974934148,162234000,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,67.41247038075093,0.9887604948475399,0.92038855817388,0.06837193667365993,,73.97162280147711,,1.452009737959634,1,2020,
78.33240509033203,79.18011893979981,77.61752794800897,78.35897537992071,216229200,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,68.46515440352317,1.1177809954524065,0.9598670456295854,0.15791394982282114,,74.14263387162829,,1.50169267710864,1,2020,
78.2188949584961,78.27202816821715,76.98234829996913,77.41465908040864,126743200,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,63.87916966864336,1.1970722489940613,1.0073080863024806,0.1897641626915807,,74.3024872475839,2.0204014681761384,1.4732298752478334,1,2020,
74.75077056884766,77.9314960376563,74.45612410034879,77.50884783770134,199588400,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,49.368880528860416,0.9688936815234683,0.9996252053466782,-0.030731523823209872,,74.32006698567267,1.915586446110357,1.665749811977191,1,2020,
74.54549407958984,75.71200004458515,72.99014787932889,73.49249228699044,173788400,39.93465,1.49814,6.58,408624988160,99280003072,4.115884120830016,42.9875187762828,0.7627044436895005,0.9522410530152428,-0.18953660932574223,,74.3289072638655,1.7316335391999567,1.7438955125835685,2,2020,
